convolution_series,n_convolution,n_dense,dense_series,accuracy,f1_score
Fibonacci,11,14,Fibonacci,90.4373209,0.818048567
Fibonacci,11,14,Square,91.45514232,0.887616517
Fibonacci,11,14,Cube,89.51427395,0.926365268
Fibonacci,11,14,Prime Numbers,91.00404652,0.834028262
Fibonacci,11,14,Ramanujan Summation,89.96974238,0.892824418
Fibonacci,11,14,Triangular Numbers,89.70712717,0.759296996
Fibonacci,11,15,Fibonacci,89.89296964,0.882972562
Fibonacci,11,15,Square,88.96475768,0.809802579
Fibonacci,11,15,Cube,89.44635069,0.865367281
Fibonacci,11,15,Prime Numbers,88.80212211,0.837612379
Fibonacci,11,15,Ramanujan Summation,91.96472513,0.9160207
